0.0	0.0	0.0
0.05	0.0	0.00012500000000000003
0.1	0.0007509252563971377	0.0010000000000000002
0.15000000000000002	0.00300342226949049	0.0033750000000000013
0.2	0.007508038250646731	0.008000000000000002
0.25	0.015015257562496045	0.015625
0.30000000000000004	0.026275515588187554	0.02700000000000001
0.35000000000000003	0.04203920535393535	0.04287500000000001
0.4	0.06305668112518258	0.06400000000000002
0.45	0.09007826055361876	0.09112500000000001
0.5	0.12385422607944552	0.125
0.55	0.16513482594270415	0.16637500000000005
0.6000000000000001	0.2146702749965258	0.21600000000000008
0.65	0.27321075543363027	0.27462500000000006
0.7000000000000001	0.34150641749282523	0.3430000000000001
0.75	0.4203073801863516	0.421875
0.8	0.5103637320730819	0.5120000000000001
0.8500000000000001	0.6124255320924767	0.6141250000000001
0.9	0.7272428104675209	0.7290000000000001
0.9500000000000001	0.8555655696803063	0.8573750000000001
1.0	0.9981437855207387	1.0
